Category,Name,Description,CounterAccount
Income::Salary 1,,Salary,
Income::Interest,,interest over period,
Expenses::Household::Groceries,Jumbo,,
Expenses::Household::Groceries,\bSpar\b,,,,
Expenses::Household::Groceries,LECLERC,,
Expenses::Household::Electronics,Mediamarkt,,
Expenses::Transportation::Fuel,Esso,,
Expenses::Transportation::Fuel,Shell,,
Expenses::Transportation::Fuel,Total,,
Expenses::Transportation::Parking,Parking,,
Expenses::Transportation::Parking,Q Park,,
Expenses::Other::Charity,Wikimedia Foundation,,
Expenses::House::Decorating/furniture,IKEA,,
Expenses::Leisure::Outings,,TICKETMASTER,
Expenses::Other::Barber,HAIRSTYLE,,
Expenses::Other::Subscriptions,SPOTIFY,,
Expenses::Other::Subscriptions,NETFLIX,,
Expenses::Other::Subscriptions,ALUMNI,,
Expenses::Leisure::Dining out,M.*c.*Donald,,
Expenses::Leisure::Dining out,Takeaway.com,,
Expenses::Leisure::Dining out,SUSHI,,
Expenses::Leisure::Dining out,STEAKHOUSE,,
Expenses::Leisure::Holidays,Camping,,
Expenses::Leisure::Gifts,Toys,,
Expenses::Leisure::Gifts,,PlayStation,
Expenses::Leisure::Outings,AMSTERDAM,,